Royalty Date,Title,ASIN/ISBN,Language,book_nick_name,Authors,Units Sold,Units Refunded,Net Units Sold,Marketplace,Royalty Type,Transaction Type,Royalty,Currency,Authors Count,Royalty USD,Royalty per Author (USD),BookType,Year Sold,Authors_Exploded
2025-12,Syllabaire et dictionnaire visuel en langue ewondo,B07WCD1V2N,Ewondo,ewondo_syllabaire,"Claude Lionel Mvondo, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,4.56,EUR,3,5.352112676056338,1.784037558685446,Ebook,2025,Claude Lionel Mvondo Edzoa
2025-12,Syllabaire et dictionnaire visuel en langue ewondo,B07WCD1V2N,Ewondo,ewondo_syllabaire,"Claude Lionel Mvondo, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,4.56,EUR,3,5.352112676056338,1.784037558685446,Ebook,2025,Shck Tchamna
2025-12,Conversations de base en langue ewondo,B086ZCN2ZD,Ewondo,ewondo_conversation_de_base,"Claude Lionel Mvondo, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,4.2,EUR,3,4.929577464788733,1.643192488262911,Ebook,2025,Claude Lionel Mvondo Edzoa
2025-12,Conversations de base en langue ewondo,B086ZCN2ZD,Ewondo,ewondo_conversation_de_base,"Claude Lionel Mvondo, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,4.2,EUR,3,4.929577464788733,1.643192488262911,Ebook,2025,Shck Tchamna
2025-12,La fourmi affamée : Wolof-Français: Melentaan wu xiif,B09F96N97D,Wolof,wolof_fourmi_affamée,"Resulam, Shck Tchamna",1,0,1,Amazon.com,70%,Standard,5.39,USD,2,5.39,2.695,Ebook,2025,Resulam
2025-12,La fourmi affamée : Wolof-Français: Melentaan wu xiif,B09F96N97D,Wolof,wolof_fourmi_affamée,"Resulam, Shck Tchamna",1,0,1,Amazon.com,70%,Standard,5.39,USD,2,5.39,2.695,Ebook,2025,Shck Tchamna
2025-12,Guide de conversation (phrasebook) en langue ewondo - part I: Trilingual Phrasebook : French-English-Ewondo,B0C3WJNL39,Ewondo,ewondo_phrasebook_guide_conversation_trilingue,"Claude Lionel Mvondo Edzoa, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,5.61,EUR,3,6.584507042253522,2.194835680751174,Ebook,2025,Claude Lionel Mvondo Edzoa
2025-12,Guide de conversation (phrasebook) en langue ewondo - part I: Trilingual Phrasebook : French-English-Ewondo,B0C3WJNL39,Ewondo,ewondo_phrasebook_guide_conversation_trilingue,"Claude Lionel Mvondo Edzoa, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,5.61,EUR,3,6.584507042253522,2.194835680751174,Ebook,2025,Shck Tchamna
2025-12,NO MORE WESTERN NAMES! For African Kids,B0FMYVHFFR,African Names,no_more_western_names,"Shck Tchamna, Fu Tientcheu",1,0,1,Amazon.com,70%,Standard,6.4,USD,3,6.4,2.1333333333333333,Ebook,2025,Shck Tchamna
2025-12,NO MORE WESTERN NAMES! For African Kids,B0FMYVHFFR,African Names,no_more_western_names,"Shck Tchamna, Fu Tientcheu",1,0,1,Amazon.com,70%,Standard,6.4,USD,3,6.4,2.1333333333333333,Ebook,2025,Fu Tientcheu
2025-11,Conversations de base en langue fe'efe'e: Basic Conversation in Fe'efe'e Language,B082VNYHKD,Nufi,nufi_conv.base,"Resulam, Shck Tchamna",1,0,1,Amazon.fr,70%,Standard,5.43,EUR,2,6.373239436619718,3.186619718309859,Ebook,2025,Resulam
2025-11,Conversations de base en langue fe'efe'e: Basic Conversation in Fe'efe'e Language,B082VNYHKD,Nufi,nufi_conv.base,"Resulam, Shck Tchamna",1,0,1,Amazon.fr,70%,Standard,5.43,EUR,2,6.373239436619718,3.186619718309859,Ebook,2025,Shck Tchamna
2025-11,Conversations de base en langue ewondo,B086ZCN2ZD,Ewondo,ewondo_conversation_de_base,"Claude Lionel Mvondo, Shck Tchamna",1,1,0,Amazon.ca,70%,Standard,0.0,CAD,3,0.0,0.0,Ebook,2025,Claude Lionel Mvondo Edzoa
2025-11,Conversations de base en langue ewondo,B086ZCN2ZD,Ewondo,ewondo_conversation_de_base,"Claude Lionel Mvondo, Shck Tchamna",1,1,0,Amazon.ca,70%,Standard,0.0,CAD,3,0.0,0.0,Ebook,2025,Shck Tchamna
2025-11,"Mon prénom africain, mon prénom bamiléké: Pour la revalorisation et la réintégration des anthroponymes Africains",B09KR6V6QV,African Names,mon_prénom_africain_mon_prénom_bamiléké,"Shck Tchamna, Fu Tientcheu",1,1,0,Amazon.fr,70%,Standard,0.0,EUR,3,0.0,0.0,Ebook,2025,Shck Tchamna
2025-11,"Mon prénom africain, mon prénom bamiléké: Pour la revalorisation et la réintégration des anthroponymes Africains",B09KR6V6QV,African Names,mon_prénom_africain_mon_prénom_bamiléké,"Shck Tchamna, Fu Tientcheu",1,1,0,Amazon.fr,70%,Standard,0.0,EUR,3,0.0,0.0,Ebook,2025,Fu Tientcheu
2025-11,Guide de conversation trilingue Wolof-Français-Anglais: Wolof-French-English Phrasebook,B09MT5CH2K,Wolof,wolof_phrasebook_guide_conversation_trilingue,"Thierno Khayar KANE, Shck Tchamna",1,0,1,Amazon.co.uk,70%,Standard,5.28,GBP,3,7.068273092369478,2.356091030789826,Ebook,2025,Thierno Khayar KANE
2025-11,Guide de conversation trilingue Wolof-Français-Anglais: Wolof-French-English Phrasebook,B09MT5CH2K,Wolof,wolof_phrasebook_guide_conversation_trilingue,"Thierno Khayar KANE, Shck Tchamna",1,0,1,Amazon.co.uk,70%,Standard,5.28,GBP,3,7.068273092369478,2.356091030789826,Ebook,2025,Shck Tchamna
2025-11,Guide de conversation trilingue Ghomala-Français-Anglais: Ŋwa'nyə msʉɔghɔm: Ghɔmálá'- French - English Phrasebook,B0DS2K2YWV,Ghomala',ghomala_phrasebook_guide_conversation_trilingue,"Mə̂fo Gòmlù’ Motoum, Shck Tchamna",1,0,1,Amazon.com,70%,Standard,6.63,USD,3,6.63,2.21,Ebook,2025,Mə̂fo Gòmlù' Motoum
2025-11,Guide de conversation trilingue Ghomala-Français-Anglais: Ŋwa'nyə msʉɔghɔm: Ghɔmálá'- French - English Phrasebook,B0DS2K2YWV,Ghomala',ghomala_phrasebook_guide_conversation_trilingue,"Mə̂fo Gòmlù’ Motoum, Shck Tchamna",1,0,1,Amazon.com,70%,Standard,6.63,USD,3,6.63,2.21,Ebook,2025,Shck Tchamna
2025-10,"Conte Camerounais -Ewondo: « Travaille aujourd’hui et mange demain, paresse aujourd’hui et vole demain ».",B07ND3Z4ND,Ewondo,ewondo_conte_travaille_paresse,"Shck Tchamna, Claude Lionel Mvondo",1,0,1,Amazon.fr,70%,Standard,4.59,EUR,3,5.387323943661972,1.795774647887324,Ebook,2025,Shck Tchamna
2025-10,"Conte Camerounais -Ewondo: « Travaille aujourd’hui et mange demain, paresse aujourd’hui et vole demain ».",B07ND3Z4ND,Ewondo,ewondo_conte_travaille_paresse,"Shck Tchamna, Claude Lionel Mvondo",1,0,1,Amazon.fr,70%,Standard,4.59,EUR,3,5.387323943661972,1.795774647887324,Ebook,2025,Claude Lionel Mvondo Edzoa
2025-10,Conversations de base en langue yemba,B08KFLC61V,Yemba,yemba_conversations_de_base,"Josephine Ndonke, Imele Tsafack, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,5.11,EUR,4,5.997652582159625,1.4994131455399062,Ebook,2025,Joséphine Ndonke
2025-10,Conversations de base en langue yemba,B08KFLC61V,Yemba,yemba_conversations_de_base,"Josephine Ndonke, Imele Tsafack, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,5.11,EUR,4,5.997652582159625,1.4994131455399062,Ebook,2025,Imele Tsafack
2025-10,Conversations de base en langue yemba,B08KFLC61V,Yemba,yemba_conversations_de_base,"Josephine Ndonke, Imele Tsafack, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,5.11,EUR,4,5.997652582159625,1.4994131455399062,Ebook,2025,Shck Tchamna
2025-10,"Mon prénom africain, mon prénom bamiléké: Pour la revalorisation et la réintégration des anthroponymes Africains",B09KR6V6QV,African Names,mon_prénom_africain_mon_prénom_bamiléké,"Shck Tchamna, Fu Tientcheu",1,0,1,Amazon.de,70%,Standard,5.65,EUR,3,6.631455399061034,2.2104851330203448,Ebook,2025,Shck Tchamna
2025-10,"Mon prénom africain, mon prénom bamiléké: Pour la revalorisation et la réintégration des anthroponymes Africains",B09KR6V6QV,African Names,mon_prénom_africain_mon_prénom_bamiléké,"Shck Tchamna, Fu Tientcheu",1,0,1,Amazon.de,70%,Standard,5.65,EUR,3,6.631455399061034,2.2104851330203448,Ebook,2025,Fu Tientcheu
2025-10,"Mon prénom africain, mon prénom bamiléké: Pour la revalorisation et la réintégration des anthroponymes Africains",B09KR6V6QV,African Names,mon_prénom_africain_mon_prénom_bamiléké,"Shck Tchamna, Fu Tientcheu",1,0,1,Amazon.fr,70%,Standard,5.73,EUR,3,6.725352112676057,2.2417840375586855,Ebook,2025,Shck Tchamna
2025-10,"Mon prénom africain, mon prénom bamiléké: Pour la revalorisation et la réintégration des anthroponymes Africains",B09KR6V6QV,African Names,mon_prénom_africain_mon_prénom_bamiléké,"Shck Tchamna, Fu Tientcheu",1,0,1,Amazon.fr,70%,Standard,5.73,EUR,3,6.725352112676057,2.2417840375586855,Ebook,2025,Fu Tientcheu
2025-10,Guide de conversation trilingue Wolof-Français-Anglais: Wolof-French-English Phrasebook,B09MT5CH2K,Wolof,wolof_phrasebook_guide_conversation_trilingue,"Thierno Khayar KANE, Shck Tchamna",1,0,1,Amazon.fr,70%,Standard,6.02,EUR,3,7.065727699530516,2.355242566510172,Ebook,2025,Thierno Khayar KANE
2025-10,Guide de conversation trilingue Wolof-Français-Anglais: Wolof-French-English Phrasebook,B09MT5CH2K,Wolof,wolof_phrasebook_guide_conversation_trilingue,"Thierno Khayar KANE, Shck Tchamna",1,0,1,Amazon.fr,70%,Standard,6.02,EUR,3,7.065727699530516,2.355242566510172,Ebook,2025,Shck Tchamna
2025-10,Nùfī Attic - Le Grenier du Nùfī - KAM 1: Ntǎ' Nùfī,B09VMMBC6D,Nufi,nufi_attic_interactive,"Resulam, Shck Tchamna",1,0,1,Amazon.ca,35%,Standard,1.34,CAD,2,0.9710144927536234,0.4855072463768117,Ebook,2025,Resulam
2025-10,Nùfī Attic - Le Grenier du Nùfī - KAM 1: Ntǎ' Nùfī,B09VMMBC6D,Nufi,nufi_attic_interactive,"Resulam, Shck Tchamna",1,0,1,Amazon.ca,35%,Standard,1.34,CAD,2,0.9710144927536234,0.4855072463768117,Ebook,2025,Shck Tchamna
2025-10,Nùfī Attic - Le Grenier du Nùfī - KAM 3: Ntǎ' Nùfī,B09VPX9ZXL,Nufi,nufi_attic_interactive,"Resulam, Shck Tchamna",1,0,1,Amazon.ca,35%,Standard,1.34,CAD,2,0.9710144927536234,0.4855072463768117,Ebook,2025,Resulam
2025-10,Nùfī Attic - Le Grenier du Nùfī - KAM 3: Ntǎ' Nùfī,B09VPX9ZXL,Nufi,nufi_attic_interactive,"Resulam, Shck Tchamna",1,0,1,Amazon.ca,35%,Standard,1.34,CAD,2,0.9710144927536234,0.4855072463768117,Ebook,2025,Shck Tchamna
2025-10,Nùfī Attic - Le Grenier du Nùfī - KAM 2: Ntǎ' Nùfī,B09VPXGBY7,Nufi,nufi_attic_interactive,"Resulam, Shck Tchamna",1,0,1,Amazon.ca,35%,Standard,1.34,CAD,2,0.9710144927536234,0.4855072463768117,Ebook,2025,Resulam
2025-10,Nùfī Attic - Le Grenier du Nùfī - KAM 2: Ntǎ' Nùfī,B09VPXGBY7,Nufi,nufi_attic_interactive,"Resulam, Shck Tchamna",1,0,1,Amazon.ca,35%,Standard,1.34,CAD,2,0.9710144927536234,0.4855072463768117,Ebook,2025,Shck Tchamna
