Royalty Date,Title,ASIN/ISBN,Language,book_nick_name,Authors,Units Sold,Units Refunded,Net Units Sold,Marketplace,Royalty Type,Transaction Type,Royalty,Currency,Authors Count,Royalty USD,Royalty per Author (USD),BookType,Year Sold,Authors_Exploded
2025-12,Syllabaire et dictionnaire visuel en langue ewondo,B07WCD1V2N,Ewondo,ewondo_syllabaire,"Claude Lionel Mvondo, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,4.56,EUR,3,5.320886814469078,1.7736289381563592,Ebook,2025,"['Claude Lionel Mvondo', ' Shck Tchamna']"
2025-12,Conversations de base en langue ewondo,B086ZCN2ZD,Ewondo,ewondo_conversation_de_base,"Claude Lionel Mvondo, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,4.2,EUR,3,4.900816802800467,1.633605600933489,Ebook,2025,"['Claude Lionel Mvondo', ' Shck Tchamna']"
2025-12,La fourmi affamée : Wolof-Français: Melentaan wu xiif,B09F96N97D,Wolof,wolof_fourmi_affamée,"Resulam, Shck Tchamna",1,0,1,Amazon.com,70%,Standard,5.39,USD,2,5.39,2.695,Ebook,2025,"['Resulam', ' Shck Tchamna']"
2025-12,Guide de conversation (phrasebook) en langue ewondo - part I: Trilingual Phrasebook : French-English-Ewondo,B0C3WJNL39,Ewondo,ewondo_phrasebook_guide_conversation_trilingue,"Claude Lionel Mvondo Edzoa, Shck Tchamna",1,0,1,Amazon.de,70%,Standard,5.61,EUR,3,6.546091015169195,2.182030338389732,Ebook,2025,"['Claude Lionel Mvondo Edzoa', ' Shck Tchamna']"
2025-12,NO MORE WESTERN NAMES! For African Kids,B0FMYVHFFR,African Names,no_more_western_names,"Shck Tchamna, Fu Tientcheu",1,0,1,Amazon.com,70%,Standard,6.4,USD,3,6.4,2.1333333333333333,Ebook,2025,"['Shck Tchamna', ' Fu Tientcheu']"
2025-11,Conversations de base en langue fe'efe'e: Basic Conversation in Fe'efe'e Language,B082VNYHKD,Nufi,nufi_conv.base,"Resulam, Shck Tchamna",1,0,1,Amazon.fr,70%,Standard,5.43,EUR,2,6.3360560093348886,3.1680280046674443,Ebook,2025,"['Resulam', ' Shck Tchamna']"
2025-11,Conversations de base en langue ewondo,B086ZCN2ZD,Ewondo,ewondo_conversation_de_base,"Claude Lionel Mvondo, Shck Tchamna",1,1,0,Amazon.ca,70%,Standard,0.0,CAD,3,0.0,0.0,Ebook,2025,"['Claude Lionel Mvondo', ' Shck Tchamna']"
2025-11,"Mon prénom africain, mon prénom bamiléké: Pour la revalorisation et la réintégration des anthroponymes Africains",B09KR6V6QV,African Names,mon_prénom_africain_mon_prénom_bamiléké,"Shck Tchamna, Fu Tientcheu",1,1,0,Amazon.fr,70%,Standard,0.0,EUR,3,0.0,0.0,Ebook,2025,"['Shck Tchamna', ' Fu Tientcheu']"
2025-11,Guide de conversation trilingue Wolof-Français-Anglais: Wolof-French-English Phrasebook,B09MT5CH2K,Wolof,wolof_phrasebook_guide_conversation_trilingue,"Thierno Khayar KANE, Shck Tchamna",1,0,1,Amazon.co.uk,70%,Standard,5.28,GBP,3,7.049399198931909,2.3497997329773033,Ebook,2025,"['Thierno Khayar KANE', ' Shck Tchamna']"
2025-11,Guide de conversation trilingue Ghomala-Français-Anglais: Ŋwa'nyə msʉɔghɔm: Ghɔmálá'- French - English Phrasebook,B0DS2K2YWV,Ghomala',ghomala_phrasebook_guide_conversation_trilingue,"Mə̂fo Gòmlù’ Motoum, Shck Tchamna",1,0,1,Amazon.com,70%,Standard,6.63,USD,3,6.63,2.21,Ebook,2025,"['Mə̂fo Gòmlù’ Motoum', ' Shck Tchamna']"
